fichier_origine,fichier_final,taille_ko
1927-067.tif,1927-067.jpg,141
1965-040-002.tif,1965-040-002.jpg,292
1972-158.tif,1972-158.jpg,310
1973-035.tif,1973-035.jpg,384
1973-119-009.tif,1973-119-009.jpg,204
1973-388-005.tif,1973-388-005.jpg,214
1978-217-005.tif,1978-217-005.jpg,447
1979-145-009.tif,1979-145-009.jpg,219
1979-230-001.tif,1979-230-001.jpg,318
1984-056-002.tif,1984-056-002.jpg,142
1984-062.tif,1984-062.jpg,167
2004-254.tif,2004-254.jpg,172
2007-089.tif,2007-089.jpg,154
2007-117-041.tif,2007-117-041.jpg,394
2007-117-053.tif,2007-117-053.jpg,273
2007-117-084.tif,2007-117-084.jpg,262
2007-118-076.tif,2007-118-076.jpg,110
2007-118-077.tif,2007-118-077.jpg,176
2007-119-216.tif,2007-119-216.jpg,272
2007-150-675.tif,2007-150-675.jpg,184
2007-150-681.tif,2007-150-681.jpg,439
2007-169-027.jpg,2007-169-027.jpg,264
2009-046-026.tif,2009-046-026.jpg,199
2009-046-038.tif,2009-046-038.jpg,126
2009-046-048.tif,2009-046-048.jpg,255
2009-046-066.tif,2009-046-066.jpg,149
2009-046-086.tif,2009-046-086.jpg,250
2009-046-090.tif,2009-046-090.jpg,182
2009-046-150.tif,2009-046-150.jpg,212
2009-046-152.tif,2009-046-152.jpg,115
2009-046-252.tif,2009-046-252.jpg,124
2009-046-254.tif,2009-046-254.jpg,215
2009-046-255.tif,2009-046-255.jpg,143
2009-074-001.tif,2009-074-001.jpg,210
2010-041.tif,2010-041.jpg,221
2011-002-084.tif,2011-002-084.jpg,926
2012-048-029.tif,2012-048-029.jpg,317
2013-032-001.tif,2013-032-001.jpg,722
2017-009-047.tif,2017-009-047.jpg,233
2017-023-009.tif,2017-023-009.jpg,798
2017-023-009_002.tif,2017-023-009-002.jpg,473
DIA-0037-0149.tif,dia-0037-0149.jpg,447
DIA-0054-0355.tif,dia-0054-0355.jpg,386
DIA-0078-0354.tif,dia-0078-0354.jpg,506
DIA-60-00232.tif,dia-60-00232.jpg,522
DIA-80-00001.tif,dia-80-00001.jpg,470
DIA-80-00230.tif,dia-80-00230.jpg,382
F00529_001.mp4 (vignette),f00529-001-thumb.jpg,99
F00529_001.mp4,f00529-001.mp4,5179
F00529_002.mp4 (vignette),f00529-002-thumb.jpg,130
F00529_002.mp4,f00529-002.mp4,4698
FO-30-00201.tif,fo-30-00201.jpg,181
FO-40-00536.tif,fo-40-00536.jpg,134
FO-40-00801.tif,fo-40-00801.jpg,349
FO-50-00174.tif,fo-50-00174.jpg,282
FO-50-00263.tif,fo-50-00263.jpg,147
FO-50-00317.tif,fo-50-00317.jpg,164
FO-50-00445.tif,fo-50-00445.jpg,178
FO-50-00606.tif,fo-50-00606.jpg,164
FO-50-00616.tif,fo-50-00616.jpg,142
FO-50-00949.tif,fo-50-00949.jpg,349
FO-50-01174.tif,fo-50-01174.jpg,207
FO-50-01786.tif,fo-50-01786.jpg,209
FO-50-01856.tif,fo-50-01856.jpg,434
FO-50-01909.tif,fo-50-01909.jpg,180
FO-50-02068.tif,fo-50-02068.jpg,137
FO-60-00133.tif,fo-60-00133.jpg,300
FO-60-00261.tif,fo-60-00261.jpg,322
FO-60-01231.tif,fo-60-01231.jpg,211
FO-60-01245.tif,fo-60-01245.jpg,417
FO-60-01771.tif,fo-60-01771.jpg,309
FO-60-01793.tif,fo-60-01793.jpg,217
FO-70-00006.tif,fo-70-00006.jpg,276
FO-70-00015.tif,fo-70-00015.jpg,176
FO-70-00093.tif,fo-70-00093.jpg,233
FO-70-00157.tif,fo-70-00157.jpg,295
FO-70-00232.tif,fo-70-00232.jpg,175
FO-70-00260.tif,fo-70-00260.jpg,249
FO-70-00513.tif,fo-70-00513.jpg,230
FO-80-00122.tif,fo-80-00122.jpg,423
FO-80-00161.tif,fo-80-00161.jpg,471
FO-80-00174.tif,fo-80-00174.jpg,286
FO-80-00244.tif,fo-80-00244.jpg,289
FO-80-00502.tif,fo-80-00502.jpg,274
FO-80-00628.tif,fo-80-00628.jpg,520
FO-80-00647.tif,fo-80-00647.jpg,255
FO-80-00703.tif,fo-80-00703.jpg,355
FO-80-00708.tif,fo-80-00708.jpg,367
FO-80-00718.tif,fo-80-00718.jpg,428
FO-90-00005.tif,fo-90-00005.jpg,410
FO-90-00012.tif,fo-90-00012.jpg,501
FO-90-00132.tif,fo-90-00132.jpg,468
FO-90-00173.tif,fo-90-00173.jpg,416
FO-90-00176.tif,fo-90-00176.jpg,359
FO-90-00288.tif,fo-90-00288.jpg,413
FO-90-00292.tif,fo-90-00292.jpg,540
FO-90-00425.jpg,fo-90-00425.jpg,512
FO-90-00441.jpg,fo-90-00441.jpg,451
VI-0012-0001_001.mp4 (vignette),vi-0012-0001-001-thumb.jpg,90
VI-0012-0001_001.mp4,vi-0012-0001-001.mp4,6999
VI-0012-0016_001.mp4 (vignette),vi-0012-0016-001-thumb.jpg,85
VI-0012-0016_001.mp4,vi-0012-0016-001.mp4,2307
VI-0012-0044_001.mp4 (vignette),vi-0012-0044-001-thumb.jpg,123
VI-0012-0044_001.mp4,vi-0012-0044-001.mp4,6798
VI-0015-0008_001.mp4 (vignette),vi-0015-0008-001-thumb.jpg,90
VI-0015-0008_001.mp4,vi-0015-0008-001.mp4,10495
