fichier_origine,fichier_final,taille_ko
1000_1920_Carte_Islande.tif,1000-1920-carte-islande.jpg,1259
1601-1170_Coquillages.png,1601-1170-coquillages.jpg,1070
1601_2036_Licornes_01.tif,1601-2036-licornes-01.jpg,719
1601_2036_Licornes_02.tif,1601-2036-licornes-02.jpg,725
1601_2036_Rhinoceros.tif,1601-2036-rhinoceros.jpg,855
BC.0002.jpg,bc-0002.jpg,193
BILLEN.0126.jpg,billen-0126.jpg,162
CP140_JPG.JPG,cp140-jpg.jpg,644
CP145_JPG.JPG,cp145-jpg.jpg,843
CP259_JPG.JPG,cp259-jpg.jpg,748
DSC_5903.JPG,dsc-5903.jpg,484
LEDOCQ.0016.jpg,ledocq-0016.jpg,353
LEDOCQ.0055.jpg,ledocq-0055.jpg,266
NEANT1.1_JPG.JPG,neant1-1-jpg.jpg,405
NEANT1.2_JPG.JPG,neant1-2-jpg.jpg,727
NEANT2.1_JPG.JPG,neant2-1-jpg.jpg,288
NEANT2.2_JPG.JPG,neant2-2-jpg.jpg,427
NOEL.0006.jpg,noel-0006.jpg,181
