artwork_id,museum_id,nb_images,thumbnail,media_url
1,,5,imadeyou-01-053.jpg,"imadeyou-01-053.jpg, imadeyou-02-220.jpg, imadeyou-03-406.jpg, imadeyou-04-710.jpg, imadeyou-05-828.jpg"
2,,3,isabella-1-045.jpg,"isabella-1-045.jpg, isabella-2-1737.jpg, isabella-3-1910.jpg"
3,,7,odamado-01-400.jpg,"odamado-01-400.jpg, odamado-02-433.jpg, odamado-03-649.jpg, odamado-04-734.jpg, odamado-05-818.jpg, odamado-06-1230.jpg, odamado-07-1554.jpg"
4,,4,abena-01-021.jpg,"abena-01-021.jpg, abena-02-408.jpg, abena-03-513.jpg, abena-04-539.jpg"
5,MSK_0320,1,de-kleine-filosoof-msk-0320.jpg,de-kleine-filosoof-msk-0320.jpg
6,MSK_0721,1,de-refter-msk-0721.jpg,de-refter-msk-0721.jpg
7,MOS_7357,1,spaarpot-geglazuurd-aardewerk-torhout-1ste-helft-20ste-eeuw-mos-7357.jpg,spaarpot-geglazuurd-aardewerk-torhout-1ste-helft-20ste-eeuw-mos-7357.jpg
9,MSK_0351,1,het-kind-met-de-vissen-msk-0351.jpg,het-kind-met-de-vissen-msk-0351.jpg
10,MSK_0033,1,portret-van-een-jonge-man-17de18de-eeuw-msk-0033.jpg,portret-van-een-jonge-man-17de18de-eeuw-msk-0033.jpg
11,MSK_0639,1,moederschap-msk-0639.jpg,moederschap-msk-0639.jpg
13,MOS_5162,1,tegel-faience-noord-nederland-18de-eeuw-mos-5162.jpg,tegel-faience-noord-nederland-18de-eeuw-mos-5162.jpg
14,MOS_5161,1,tegel-faience-noord-nederland-18de-eeuw-mos-5161.jpg,tegel-faience-noord-nederland-18de-eeuw-mos-5161.jpg
15,MSK_1199,0,,
16,MSK_0449,1,nieuwsgierigheid-msk-0449.jpg,nieuwsgierigheid-msk-0449.jpg
17,MSK_0235,1,strandtoneel-msk-0235.jpg,strandtoneel-msk-0235.jpg
18,MSK_0317,1,kind-slapend-op-zijn-trommel-msk-0317.jpg,kind-slapend-op-zijn-trommel-msk-0317.jpg
19,MSK_0337,1,winterlandschap-met-kinderen-msk-0337.jpg,winterlandschap-met-kinderen-msk-0337.jpg
20,MSK_0335,1,lezend-kind-msk-0335.jpg,lezend-kind-msk-0335.jpg
21,JL.2022.0.22,2,mar-bvm-7-2022-0-22-001-medium.jpg,"mar-bvm-7-2022-0-22-001-medium.jpg, mar-bvm-7-2022-0-22-002-medium.jpg"
22,JL.2022.0.23,2,mar-bvm-7-2022-0-23-001-medium.jpg,"mar-bvm-7-2022-0-23-001-medium.jpg, mar-bvm-7-2022-0-23-002-medium.jpg"
23,JL.2022.0.24,2,mar-bvm-7-2022-0-24-001-medium.jpg,"mar-bvm-7-2022-0-24-001-medium.jpg, mar-bvm-7-2022-0-24-002-medium.jpg"
24,JL.2022.0.25,2,mar-bvm-7-2022-0-25-001-medium.jpg,"mar-bvm-7-2022-0-25-001-medium.jpg, mar-bvm-7-2022-0-25-002-medium.jpg"
25,JL.2022.0.26,1,mar-bvm-7-2022-0-26-medium.jpg,mar-bvm-7-2022-0-26-medium.jpg
26,JL.2022.0.27,2,mar-bvm-7-2022-0-27-001-medium.jpg,"mar-bvm-7-2022-0-27-001-medium.jpg, mar-bvm-7-2022-0-27-002-medium.jpg"
27,JL.2022.0.28,2,mar-bvm-7-2022-0-28-001-medium.jpg,"mar-bvm-7-2022-0-28-001-medium.jpg, mar-bvm-7-2022-0-28-002-medium.jpg"
